Attack,Feature,T,CV,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
pck_size,UDP,0,0,ET,0.03215,0.5,0.016075,0.5,0.031148573,0,0.5,0,0
pck_size,UDP,0,1,ET,0.03215,0.5,0.016075,0.5,0.031148573,0,0.5,0,0.015733004
pck_size,UDP,0,2,ET,0.03215,0.5,0.016075,0.5,0.031148573,0,0.5,0,0
pck_size,UDP,0,3,ET,0.03215,0.5,0.016075,0.5,0.031148573,0,0.5,0,0
pck_size,UDP,0,4,ET,0.03215,0.5,0.016075,0.5,0.031148573,0,0.5,0.015741825,0.000853539
pck_size,UDP,0,5,ET,0.03215,0.5,0.016075,0.5,0.031148573,0,0.5,0,0
pck_size,UDP,0,6,ET,0.03215,0.5,0.016075,0.5,0.031148573,0,0.5,0,0.010015965
pck_size,UDP,0,7,ET,0.03215,0.5,0.016075,0.5,0.031148573,0,0.5,0,0
pck_size,UDP,0,8,ET,0.03215,0.5,0.016075,0.5,0.031148573,0,0.5,0.014626741,0
pck_size,UDP,0,9,ET,0.03215,0.5,0.016075,0.5,0.031148573,0,0.5,0.002869844,0.000681162
pck_size,UDP,0,10,ET,0.03215,0.5,0.016075,0.5,0.031148573,0,0.5,0.008935452,0.000967741
pck_size,UDP,0,11,ET,0.03215,0.5,0.016075,0.5,0.031148573,0,0.5,0,0
pck_size,UDP,0,12,ET,0.03215,0.5,0.016075,0.5,0.031148573,0,0.5,0.005717039,0
pck_size,UDP,0,13,ET,0.03215,0.5,0.016075,0.5,0.031148573,0,0.5,0,0
pck_size,UDP,0,14,ET,0.03215,0.5,0.016075,0.5,0.031148573,0,0.5,0,0
pck_size,UDP,0,15,ET,0.03215,0.5,0.016075,0.5,0.031148573,0,0.5,0,0
pck_size,UDP,0,16,ET,0.03215,0.5,0.016075,0.5,0.031148573,0,0.5,0.001839876,0
pck_size,UDP,0,17,ET,0.03215,0.5,0.016075,0.5,0.031148573,0,0.5,0,0
pck_size,UDP,0,18,ET,0.03215,0.5,0.016075,0.5,0.031148573,0,0.5,0.014520407,0
pck_size,UDP,0,19,ET,0.03215,0.5,0.016075,0.5,0.031148573,0,0.5,0.01760149,0
pck_size,UDP,0,20,ET,0.03215,0.5,0.016075,0.5,0.031148573,0,0.5,0.011018991,0
pck_size,UDP,0,21,ET,0.03215,0.5,0.016075,0.5,0.031148573,0,0.5,0.006376028,0.001011848
pck_size,UDP,0,22,ET,0.03215,0.5,0.016075,0.5,0.031148573,0,0.5,0.003497839,0.000635386
pck_size,UDP,0,23,ET,0.03215,0.5,0.016075,0.5,0.031148573,0,0.5,0.004327297,0.001015425
pck_size,UDP,0,24,ET,0.03215,0.5,0.016075,0.5,0.031148573,0,0.5,0.00399518,0.001001358
pck_size,UDP,0,25,ET,0.03215,0.5,0.016075,0.5,0.031148573,0,0.5,0.002995729,0.001002312
pck_size,UDP,0,26,ET,0.03215,0.5,0.016075,0.5,0.031148573,0,0.5,0.003992081,0.001002789
pck_size,UDP,0,27,ET,0.03215,0.5,0.016075,0.5,0.031148573,0,0.5,0.004049778,0.001879692
